#,Patient Code,PAT id(SSAM),Accession,Name,Species-group,Species,Group,Subtype,Sampling Year,Country,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
293,,,KT022378,06KE196199V6,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
294,,,KT022380,06KE335214V6,PLV,HIV-1,M,A4,2006,KE,,,,HIV-1
295,,,KT022381,06KE404877V7,PLV,HIV-1,M,A4,2006,KE,,,,HIV-1
296,,,KT022382,06KE452693V6,PLV,HIV-1,M,A4,2006,KE,,,,HIV-1
297,,,KT022383,06KE661996V6,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
298,,,KT022384,06KE795643V7,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
299,,,KT152839,NARI-FLS_IVC19-1,PLV,HIV-1,M,A1,2009,IN,,,,HIV-1
300,,,KT152840,NARI-FLS_VB6,PLV,HIV-1,M,A1,1997,IN,,,,HIV-1
301,,,KT152841,NARI-FLS_VB11,PLV,HIV-1,M,A1,1999,IN,,,,HIV-1
302,,,KT152842,NARI-FLS_VB15,PLV,HIV-1,M,A1,1999,IN,,,,HIV-1
303,,,KT152843,NARI-FLS_VB81-4,PLV,HIV-1,M,A1,1999,IN,,,,HIV-1
304,,,KT152844,NARI-FLS_VB81-12,PLV,HIV-1,M,A1,1999,IN,,,,HIV-1
305,,,KT152845,NARI-FLS_VB81-13,PLV,HIV-1,M,A4,1999,IN,,,,HIV-1
306,,,KT152846,NARI-FLS_VB99-30,PLV,HIV-1,M,A4,2000,IN,,,,HIV-1
307,,,KT152847,NARI-FLS_VB99-35,PLV,HIV-1,M,A4,2000,IN,,,,HIV-1
308,,,KT183312,503_15344_T10_A1,PLV,HIV-1,M,A1,2004,ZA,,,,HIV-1
309,,,KT183313,503_15344_T23b_A1,PLV,HIV-1,M,A1,2004,ZA,,,,HIV-1
310,,,KT183314,503_15344_T33_A1,PLV,HIV-1,M,A1,2004,ZA,,,,HIV-1
311,,,KT183315,503_15344_T38_A1,PLV,HIV-1,M,A1,2004,ZA,,,,HIV-1
312,,,KT183316,503_15344_T3_A1,PLV,HIV-1,M,A1,2004,ZA,,,,HIV-1
313,,,KT983615,PV85,PLV,HIV-1,M,A1,2013,BY,,,,HIV-1
314,,,KU168256,LA01AlPr,PLV,HIV-1,M,A1,2002,CD,,,,HIV-1
315,,,KU168305,CM54-7,PLV,HIV-1,M,A1,2003,CM,,,,HIV-1
316,,,KU749399,DEMA111UA002,PLV,HIV-1,M,A4,2011,UA,,,,HIV-1
317,,,KU749400,DEMA111UA008,PLV,HIV-1,M,A4,2011,UA,,,,HIV-1
318,,,KU749401,DEMA111UA009,PLV,HIV-1,M,A4,2011,UA,,,,HIV-1
319,,,KU749403,DEMA112UA024,PLV,HIV-1,M,A1,2012,UA,,,,HIV-1
320,,,KU749404,DEMA112UA030,PLV,HIV-1,M,A1,2012,UA,,,,HIV-1
321,,,KU749405,DEMA112UA034,PLV,HIV-1,M,A1,2012,UA,,,,HIV-1
322,,,KU749407,DEMA112UA042,PLV,HIV-1,M,A1,2012,UA,,,,HIV-1
323,,,KU749409,DEMA114PK001,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
324,,,KU749410,DEMA114PK002,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
325,,,KU749411,DEMA114PK013,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
326,,,KU749423,DEMA106RW003,PLV,HIV-1,M,A1,2006,RW,,,,HIV-1
327,,,KU749424,DEMA108RW010,PLV,HIV-1,M,A4,2008,RW,,,,HIV-1
328,,,KX228810,Read30_HIV_A1,PLV,HIV-1,M,A4,2010,UG,,,,HIV-1
329,,,KX228815,Read35_HIV_A1,PLV,HIV-1,M,A4,2005,TZ,,,,HIV-1
330,,,KX232594,PK001,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
331,,,KX232595,PK002,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
332,,,KX232597,PK004,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
333,,,KX232600,PK007,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
334,,,KX232606,PK013,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
335,,,KX232607,PK014,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
336,,,KX232609,PK016,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
337,,,KX232610,PK017,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
338,,,KX232611,PK018,PLV,HIV-1,M,A4,2014,PK,,,,HIV-1
339,,,KX232613,PK020,PLV,HIV-1,M,A4,2014,PK,,,,HIV-1
340,,,KX232614,PK021,PLV,HIV-1,M,A4,2015,PK,,,,HIV-1
341,,,KX232618,PK026,PLV,HIV-1,M,A1,2015,PK,,,,HIV-1
342,,,KX232619,PK027,PLV,HIV-1,M,A1,2014,PK,,,,HIV-1
343,,,KX232620,PK030,PLV,HIV-1,M,A1,2015,PK,,,,HIV-1
344,,,KX232621,PK031,PLV,HIV-1,M,A1,2015,PK,,,,HIV-1
345,,,KX232624,PK034,PLV,HIV-1,M,A1,2015,PK,,,,HIV-1
346,,,KX232626,PK036,PLV,HIV-1,M,A1,2015,PK,,,,HIV-1
347,,,KX389622,09NG010499,PLV,HIV-1,M,A1,2009,NG,,,,HIV-1
348,,,KX907336,CO0272V4,PLV,HIV-1,M,A1,2004,TZ,,,,HIV-1
349,,,KX907341,CO0260V5,PLV,HIV-1,M,A4,2005,TZ,,,,HIV-1
350,,,KX907343,CO0330V4,PLV,HIV-1,M,A4,2004,TZ,,,,HIV-1
351,,,KX907346,CO0434V7,PLV,HIV-1,M,A4,2006,TZ,,,,HIV-1
352,,,KX907347,CO0439V5,PLV,HIV-1,M,A1,2005,TZ,,,,HIV-1
353,,,KX907348,CO0543V2,PLV,HIV-1,M,A1,2003,TZ,,,,HIV-1
354,,,KX907352,CO0783V0,PLV,HIV-1,M,A1,2002,TZ,,,,HIV-1
355,,,KX907364,CO3083V4,PLV,HIV-1,M,A1,2005,TZ,,,,HIV-1
356,,,KX907372,CO3365V2,PLV,HIV-1,M,A1,2004,TZ,,,,HIV-1
357,,,KX907378,CO3504V7,PLV,HIV-1,M,A1,2006,TZ,,,,HIV-1
358,,,KX907383,CO3718V3,PLV,HIV-1,M,A1,2004,TZ,,,,HIV-1
359,,,KX907389,CO3878V2,PLV,HIV-1,M,A1,2004,TZ,,,,HIV-1
360,,,KX907401,CO6161V5,PLV,HIV-1,M,A4,2005,TZ,,,,HIV-1
361,,,KX907412,CO6592V5,PLV,HIV-1,M,A4,2005,TZ,,,,HIV-1
362,,,KX907414,CO6637V7,PLV,HIV-1,M,A4,2006,TZ,,,,HIV-1
363,,,KX907423,CO6830V7,PLV,HIV-1,M,A1,2006,TZ,,,,HIV-1
364,,,KX907431,CO6974V7,PLV,HIV-1,M,A1,2006,TZ,,,,HIV-1
365,,,KY238326,MSK_SK_006-1,PLV,HIV-1,M,A1,2008,RU,,,,HIV-1
366,,,KY238327,MSK_SK_006-2,PLV,HIV-1,M,A1,2008,RU,,,,HIV-1
367,,,KY496622,100_117,PLV,HIV-1,M,A1,2015,ES,,,,HIV-1
368,,,KY658681,DEMA112UA013,PLV,HIV-1,M,A1,2012,UA,,,,HIV-1
369,,,KY658682,DEMA112UA040,PLV,HIV-1,M,A1,2012,UA,,,,HIV-1
370,,,KY658694,DEMA108TZ002,PLV,HIV-1,M,A1,2008,TZ,,,,HIV-1
371,,,KY658695,DEMA108TZ004,PLV,HIV-1,M,A4,2008,TZ,,,,HIV-1
372,,,KY658696,DEMA108TZ012,PLV,HIV-1,M,A4,2008,TZ,,,,HIV-1
373,,,KY658714,DEMA114PK027,PLV,HIV-1,M,A4,2014,PK,,,,HIV-1
374,,,KY658715,DEMA115PK030,PLV,HIV-1,M,A1,2015,PK,,,,HIV-1
375,,,KY658716,DEMA115PK031,PLV,HIV-1,M,A1,2015,PK,,,,HIV-1
376,,,M62320,U455_U455A,PLV,HIV-1,M,A1,1985,UG,,,,HIV-1
383,,,MF373124,001UG,PLV,HIV-1,M,A1,1993,SE,,,,HIV-1
384,,,MF373167,064GR,PLV,HIV-1,M,A1,2012,SE,,,,HIV-1
385,,,MF373168,065SE,PLV,HIV-1,M,A1,2012,SE,,,,HIV-1
386,,,MF373181,078SE,PLV,HIV-1,M,A1,2013,SE,,,,HIV-1
387,,,MF373182,079KE,PLV,HIV-1,M,A1,2013,SE,,,,HIV-1
388,,,MG902950,ARH001,PLV,HIV-1,M,A4,2013,RU,,,,HIV-1
389,,,MG902951,ARH011,PLV,HIV-1,M,A4,2013,RU,,,,HIV-1
390,,,MH330337,ARH028,PLV,HIV-1,M,A4,2013,RU,,,,HIV-1
391,,,MH330338,ARH029,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
392,,,MH330339,ARH033,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
393,,,MH330340,ARH036,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
394,,,MH330341,ARH042,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
395,,,MH330342,ARH047,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
396,,,MH330343,ARH048,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
397,,,MH330344,ARH061,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
398,,,MH330345,ARH066,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
399,,,MH330346,ARH068,PLV,HIV-1,M,A4,2013,RU,,,,HIV-1
400,,,MH330347,BLG015,PLV,HIV-1,M,A4,2012,RU,,,,HIV-1
401,,,MH330348,BLG032,PLV,HIV-1,M,A4,2012,RU,,,,HIV-1
402,,,MH330349,BLG033,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
403,,,MH330350,BLG035,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
404,,,MH330351,BLG038,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
405,,,MH330352,BLG041,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
406,,,MH330353,BLG043,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
407,,,MH330354,BLG044,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
408,,,MH330355,BLG045,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
409,,,MH330356,BLG051,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
410,,,MH330357,IRK007,PLV,HIV-1,M,A4,-,RU,,,,HIV-1
411,,,MH330358,IRK014,PLV,HIV-1,M,A4,2012,RU,,,,HIV-1
412,,,MH330359,IRK025,PLV,HIV-1,M,A4,2012,RU,,,,HIV-1
413,,,MH330361,IRK028,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
414,,,MH330363,IRK030,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
415,,,MH330364,IRK031,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
416,,,MH330365,IRK035,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
417,,,MH330367,IRK039,PLV,HIV-1,M,A1,2012,RU,,,,HIV-1
418,,,MH330370,MRK030,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
419,,,MH330371,MRK054,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
420,,,MH330372,MRK056,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
421,,,MH330373,MRK063,PLV,HIV-1,M,A4,2013,RU,,,,HIV-1
422,,,MH330374,MRK067,PLV,HIV-1,M,A4,2013,RU,,,,HIV-1
423,,,MH330375,MRK068,PLV,HIV-1,M,A4,2013,RU,,,,HIV-1
424,,,MH330376,MRK075,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
425,,,MH330377,MRK078,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
426,,,MH330378,MRK079,PLV,HIV-1,M,A1,2013,RU,,,,HIV-1
427,,,MH330379,MRK086,PLV,HIV-1,M,A1,2014,RU,,,,HIV-1
428,,,MH330380,MRK087,PLV,HIV-1,M,A1,2014,RU,,,,HIV-1
429,,,MH330381,MRK097,PLV,HIV-1,M,A1,2014,RU,,,,HIV-1
430,,,MH705133,PBS888,PLV,HIV-1,M,A1,1987,CD,,,,HIV-1
431,,,MH705151,70641,PLV,HIV-1,M,A1,1987,CD,,,,HIV-1
432,,,MH705153,PBS6126,PLV,HIV-1,M,A4,1987,CD,,,,HIV-1
433,,,MH705157,P4039,PLV,HIV-1,M,A4,1987,CD,,,,HIV-1
434,,,MH705158,2106,PLV,HIV-1,M,A4,1987,CD,,,,HIV-1
435,,,MH705163,PBS1195,PLV,HIV-1,M,A1,1987,CD,,,,HIV-1
436,,,MH746253,V_09_017,PLV,HIV-1,M,A1,2009,BG,,,,HIV-1
437,,,MH746258,V_09_008,PLV,HIV-1,M,A1,2009,BG,,,,HIV-1
438,,,MH746259,V_09_007,PLV,HIV-1,M,A1,2009,BG,,,,HIV-1
439,,,MK177829,P4496,PLV,HIV-1,M,A1,2016,ES,,,,HIV-1
440,,,U51190,92UG037,PLV,HIV-1,M,A1,1992,UG,,,,HIV-1
